sentence_id	token_id	token	BIO_NER_tag
0	0	lineup	O
0	1	for	O
0	2	tonight	O
0	3	.	O
1	4	Keppinger	B-PERSON
1	5	sits	O
1	6	,	O
1	7	Downs	B-PERSON
1	8	plays	O
1	9	2B	O
1	10	,	O
1	11	CJ	B-PERSON
1	12	bats	O
1	13	5th	O
1	14	.	O
2	15	If	O
2	16	you	O
2	17	are	O
2	18	staying	O
2	19	in	O
2	20	Gainesville	B-LOC
2	21	,	O
2	22	come	O
2	23	check	O
2	24	out	O
2	25	Costa	B-LOC
2	26	Lounge	I-LOC
2	27	TONIGHT	O
2	28	!	O
3	29	Say	O
3	30	you	O
3	31	are	O
3	32	with	O
3	33	salsa	B-PERSON
3	34	caliente	I-PERSON
3	35	and	O
3	36	get	O
3	37	in	O
3	38	...	O
4	39	JV	B-ORG
4	40	soccer	I-ORG
4	41	leads	O
4	42	4-1	O
4	43	after	O
4	44	Benitez	B-PERSON
4	45	scores	O
4	46	again	O
4	47	,	O
4	48	less	O
4	49	than	O
4	50	7	O
4	51	mins	O
4	52	to	O
4	53	play	O
4	54	Ah	O
4	55	a	O
4	56	Friday	O
4	57	night	O
4	58	free	O
4	59	!	O
5	60	Avin	O
5	61	a	O
5	62	drink	O
5	63	with	O
5	64	friends	O
5	65	.	O
6	66	Lent	O
6	67	the	O
6	68	T4	O
6	69	to	O
6	70	friend	O
6	71	to	O
6	72	camp	O
6	73	in	O
6	74	.	O
7	75	Off	O
7	76	camping	O
7	77	to	O
7	78	Robinhoods	B-LOC
7	79	bay	I-LOC
7	80	In	O
7	81	Jasmin	B-LOC
7	82	.	O
8	83	Good	O
8	84	weekend	O
8	85	Last	O
8	86	film	O
8	87	I	O
8	88	can	O
8	89	watch	O
8	90	on	O
8	91	a	O
8	92	decent	O
8	93	telly	O
8	94	for	O
8	95	a	O
8	96	while	O
8	97	tonight	O
8	98	.	O
9	99	Kick-Ass	B-WORK_OF_ART
9	100	is	O
9	101	very	O
9	102	tempting	O
9	103	indeed	O
9	104	.	O
10	105	After	O
10	106	I	O
10	107	pet	O
10	108	a	O
10	109	kitten	O
10	110	on	O
10	111	JFK	B-PERSON
10	112	,	O
10	113	the	O
10	114	owners	O
10	115	informed	O
10	116	me	O
10	117	it	O
10	118	's	O
10	119	double-pawed	O
10	120	polydactyl	O
10	121	,	O
10	122	which	O
10	123	is	O
10	124	a	O
10	125	form	O
10	126	of	O
10	127	retardation	O
10	128	in	O
10	129	the	O
10	130	animal	O
10	131	kingdom	O
10	132	Ah	O
10	133	I	O
10	134	know	O
10	135	!	O
11	136	She	O
11	137	is	O
11	138	simply	O
11	139	the	O
11	140	best	O
11	141	in	O
11	142	The	O
11	143	Sept	O
11	144	Issue	O
11	145	.	O
12	146	My	O
12	147	boyfriend	O
12	148	's	O
12	149	aunt	O
12	150	worked	O
12	151	for	O
12	152	Anna	B-PERSON
12	153	Wintor	I-PERSON
12	154	in	O
12	155	NY	O
12	156	.	O
13	157	Time	O
13	158	to	O
13	159	begin	O
13	160	looking	O
13	161	for	O
13	162	somewhere	O
13	163	to	O
13	164	live	O
13	165	around	O
13	166	Coolum	B-LOC
13	167	.	O
14	168	Sun	O
14	169	,	O
14	170	sand	O
14	171	,	O
14	172	surf	O
14	173	and	O
14	174	bikinis	O
14	175	.	O
15	176	Looking	O
15	177	forward	O
15	178	to	O
15	179	my	O
15	180	new	O
15	181	phase	O
15	182	in	O
15	183	life	O
15	184	.	O
16	185	Costa	O
16	186	Rican	O
16	187	group	O
16	188	CocoFunka	B-PERSON
16	189	power	O
16	190	this	O
16	191	week	O
16	192	's	O
16	193	Indiesent	B-WORK_OF_ART
16	194	Exposure	I-WORK_OF_ART
16	195	by	O
16	196	on	O
16	197	and	O
16	198	i	O
16	199	also	O
16	200	loved	O
16	201	the	O
16	202	last	O
16	203	years	O
16	204	eurovision	O
16	205	entry	O
16	206	!!	O
17	207	hoppaa	O
17	208	!	O
18	209	they	O
18	210	were	O
18	211	cool	O
18	212	too	O
18	213	!!	O
19	214	ha	O
19	215	ye	O
19	216	theyr	O
19	217	may	O
19	218	be	O
19	219	severe	O
19	220	consiquences	O
19	221	of	O
19	222	our	O
19	223	meeting	O
19	224	like	O
19	225	the	O
19	226	waypeople	O
19	227	talk	O
19	228	bout	O
19	229	theday	O
19	230	sum1	O
19	231	told	O
19	232	adolf	O
19	233	he	O
19	234	wasnt	O
19	235	blond	O
19	236	enuf	O
19	237	S	O
19	238	When	O
19	239	the	O
19	240	last	O
19	241	time	O
19	242	you	O
19	243	ran	O
19	244	into	O
19	245	Rick	B-PERSON
19	246	Ross	I-PERSON
19	247	and	O
19	248	Drake	B-PERSON
19	249	twice	O
19	250	in	O
19	251	the	O
19	252	same	O
19	253	day	O
19	254	at	O
19	255	2	O
19	256	diff	O
19	257	video	O
19	258	shoot	O
19	259	locations	O
19	260	.	O
20	261	Today	O
20	262	I	O
20	263	did	O
20	264	!	O
21	265	Aggressive	O
21	266	Kids	O
21	267	With	O
21	268	ADHD	B-ORG
21	269	May	O
21	270	Not	O
21	271	Need	O
21	272	Antipsychotic	O
21	273	Meds	O
21	274	Today	O
21	275	I	O
21	276	got	O
21	277	a	O
21	278	promotion	O
21	279	at	O
21	280	work	O
21	281	,	O
21	282	and	O
21	283	tomorrow	O
21	284	I	O
21	285	'm	O
21	286	going	O
21	287	home	O
21	288	to	O
21	289	Wisconsin	B-LOC
21	290	for	O
21	291	a	O
21	292	few	O
21	293	days	O
21	294	.	O
22	295	So	O
22	296	content	O
22	297	with	O
22	298	life	O
22	299	right	O
22	300	now	O
22	301	.	O
23	302	:)	O
24	303	Columbus	B-LOC
24	304	,	O
24	305	GA	B-LOC
24	306	and	O
24	307	'll	O
24	308	be	O
24	309	mixing	O
24	310	an	O
24	311	80	O
24	312	's	O
24	313	and	O
24	314	other	O
24	315	throwbacks	O
24	316	dance	O
24	317	party	O
24	318	tonight	O
24	319	at	O
24	320	eighty-five	O
24	321	.	O
25	322	Come	O
25	323	kickit	O
25	324	!	O
26	325	Oh	O
26	326	before	O
26	327	I	O
26	328	forget	O
26	329	good	O
26	330	luck	O
26	331	also	O
26	332	to	O
26	333	the	O
26	334	cherry	O
26	335	and	O
26	336	whites	O
26	337	against	O
26	338	London	B-ORG
26	339	Irish	I-ORG
26	340	.	O
27	341	Only	O
27	342	a	O
27	343	win	O
27	344	will	O
27	345	do	O
27	346	.	O
28	347	Gives	O
28	348	me	O
28	349	more	O
28	350	excuses	O
28	351	to	O
28	352	celebrate	O
28	353	!	O
29	354	Yo	O
29	355	kids	O
29	356	!	O
30	357	Today	O
